,Exidelw,Exideuw,Call
412,214.6380952380952,226.50882352941173,Sell
413,214.7904761904761,225.3117647058823,Sell
414,214.6547619047618,224.13382352941173,Sell
415,214.247619047619,223.15147058823527,Sell
416,214.05952380952377,222.1367647058823,Sell
417,214.10238095238088,221.32941176470584,Sell
418,214.2738095238095,220.5411764705882,Sell
419,214.53333333333327,219.88382352941173,Sell
420,214.91428571428565,219.36029411764702,Sell
421,215.8238095238095,218.94117647058818,Sell
422,216.8642857142857,218.62941176470582,Sell
423,217.82142857142853,218.510294117647,Sell
424,218.93571428571423,218.49558823529404,Buy
425,219.85238095238088,218.71764705882347,Buy
426,220.87380952380948,219.02647058823524,Buy
427,222.00952380952376,219.2279411764705,Buy
428,222.76904761904757,219.05147058823522,Buy
429,223.26190476190473,218.74852941176462,Buy
430,223.73095238095235,218.74852941176462,Buy
431,224.34047619047618,218.93088235294113,Buy
432,224.50952380952376,218.98676470588228,Buy
433,224.48571428571424,218.99999999999991,Buy
434,224.24285714285708,219.12352941176462,Buy
435,224.01904761904757,219.3117647058823,Buy
436,223.6119047619047,219.3338235294117,Buy
437,223.24761904761894,219.60441176470582,Buy
438,222.9404761904761,219.89999999999992,Buy
439,222.62380952380946,220.2147058823529,Buy
440,222.32857142857137,220.5867647058823,Buy
441,222.0261904761904,221.02647058823524,Buy
442,221.66904761904755,221.51029411764702,Buy
443,221.21190476190466,221.69999999999996,Sell
444,221.07619047619042,222.07499999999996,Sell
445,220.96190476190472,222.3661764705882,Sell
446,220.66904761904757,222.44264705882347,Sell
447,220.12380952380946,222.32058823529405,Sell
448,219.59761904761896,222.2808823529411,Sell
449,219.4571428571428,222.26911764705872,Sell
450,219.31904761904758,221.99705882352933,Sell
451,218.85476190476186,221.68382352941168,Sell
452,218.27380952380943,221.4014705882352,Sell
453,217.87380952380946,221.04999999999993,Sell
454,217.77857142857135,220.76911764705872,Sell
455,217.7761904761904,220.32941176470578,Sell
456,217.66190476190465,219.80441176470575,Sell
457,217.59285714285704,219.19264705882344,Sell
